City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
259,Vanimo,PG,-2.6741,141.3028,76.42,95,100,13.22,light rain
260,Naze,JP,28.3667,129.4833,63.52,66,100,13.71,overcast clouds
261,Molteno,ZA,-31.3968,26.3625,55.38,86,100,6.64,overcast clouds
262,Lubumbashi,CD,-11.6609,27.4794,62.58,98,100,1.92,light rain
263,Belmonte,BR,-15.8631,-38.8828,79.3,86,97,13.06,overcast clouds
264,Tomigusuku,JP,26.185,127.675,67.77,94,75,13.8,light rain
265,Hearst,CA,49.6835,-83.6665,-3.3,96,100,2.51,overcast clouds
266,Salinopolis,BR,-0.6136,-47.3561,81.97,79,80,14.18,broken clouds
267,Ancud,CL,-41.8697,-73.8203,63.68,72,10,5.26,clear sky
268,Camaqua,BR,-30.8511,-51.8122,70.54,66,0,8.55,clear sky
269,Saint-Francois,FR,46.4154,3.9054,31.68,97,90,3.44,fog
270,Vao,NC,-22.6667,167.4833,75.51,71,4,10.27,clear sky
271,Dokka,NO,60.84,10.0618,23.07,96,98,3.13,overcast clouds
272,Kachug,RU,53.9606,105.8817,-31.58,99,21,1.81,few clouds
273,Floro,NO,61.5996,5.0328,37.47,100,75,8.05,broken clouds
274,Tecoanapa,MX,16.5167,-98.75,84.07,63,2,10.07,clear sky
275,Iquitos,PE,-3.7481,-73.2472,78.78,94,100,3.29,overcast clouds
276,Awjilah,LY,29.1081,21.2869,56.12,42,100,3.09,overcast clouds
277,Gubkin,RU,51.2817,37.5458,7.41,94,97,9.01,overcast clouds
278,Ust-Kuyga,RU,70.0167,135.6,-26.81,98,100,5.7,overcast clouds
279,Severobaykalsk,RU,55.65,109.3167,-9.42,80,8,7.94,clear sky
280,Araouane,ML,18.9048,-3.5265,70.74,15,100,9.75,overcast clouds
281,Ginda,IN,30.6945,78.4932,40.24,34,4,6.51,clear sky
282,Moa,CU,20.6569,-74.9403,78.37,79,100,3.89,overcast clouds
283,Kirakira,SB,-10.4544,161.9205,84.16,77,48,6.91,scattered clouds
284,Tiarei,PF,-17.5333,-149.3333,87.82,76,95,13.71,light rain
285,Lindi,TZ,-10.0,39.7167,75.81,92,87,1.32,overcast clouds
286,Severnyy-Kospashskiy,RU,59.0925,57.8008,-1.39,80,100,3.71,overcast clouds
287,Anori,BR,-3.7728,-61.6442,76.55,96,100,2.66,heavy intensity rain
288,Caravelas,BR,-17.7125,-39.2481,77.38,87,50,13.22,heavy intensity rain
289,Desaguadero,PE,-16.5656,-69.0417,47.55,77,100,2.15,overcast clouds
290,Olinda,BR,-8.0089,-34.8553,82.13,78,40,6.91,scattered clouds
291,Tasiilaq,GL,65.6145,-37.6368,24.96,55,0,4.32,clear sky
292,Ferkessedougou,CI,9.6,-5.2,77.41,20,46,5.66,scattered clouds
